                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 111.77,                      0,                      0,                      0,                      0,                      0,                      0,                  163.5,                      0,              0.0005001,              0.0005001,              0.0005001
                      2,                      0,                 86.431,                      0,                      0,                      0,                      0,                      0,                      0,                 241.31,                      0,              0.0010068,              0.0010068,              0.0010068
                      3,                      0,                 75.435,                      0,                      0,                      0,                      0,                      0,                      0,                 97.297,                      0,              0.0015033,              0.0015033,              0.0015033
                      4,                      0,                  65.51,                      0,                      0,                      0,                      0,                      0,                      0,                 149.47,                      0,              0.0016175,              0.0016175,              0.0016175
                      5,                      0,                 53.127,                      0,                      0,                      0,                      0,                      0,                      0,                 84.984,                      0,               0.001601,               0.001601,               0.001601
                      6,                      0,                 42.611,                      0,                      0,                      0,                      0,                      0,                      0,                 60.797,                      0,              0.0015845,              0.0015845,              0.0015845
                      7,                      0,                 33.715,                      0,                      0,                      0,                      0,                      0,                      0,                 199.83,                      0,               0.001568,               0.001568,               0.001568
                      8,                      0,                 25.865,                      0,                      0,                      0,                      0,                      0,                      0,                 371.37,                      0,              0.0015515,              0.0015515,              0.0015515
                      9,                      0,                 19.401,                      0,                      0,                      0,                      0,                      0,                      0,                  31.33,                      0,               0.001535,               0.001535,               0.001535
                     10,                      0,                  14.33,                      0,                      0,                      0,                      0,                      0,                      0,                  25.03,                      0,              0.0015185,              0.0015185,              0.0015185
                     11,                      0,                 10.384,                      0,                      0,                      0,                      0,                      0,                      0,                 14.294,                      0,               0.001502,               0.001502,               0.001502
                     12,                      0,                 7.3133,                      0,                      0,                      0,                      0,                      0,                      0,                 9.0631,                      0,              0.0014855,              0.0014855,              0.0014855
                     13,                      0,                 5.0623,                      0,                      0,                      0,                      0,                      0,                      0,                 6.6105,                      0,               0.001469,               0.001469,               0.001469
